nlayer,dataset,epoch_max_mean,epoch_max_sem,epoch_min_mean,epoch_min_sem,global_step_max_mean,global_step_max_sem,global_step_min_mean,global_step_min_sem,num_train_steps_max_mean,num_train_steps_max_sem,num_train_steps_min_mean,num_train_steps_min_sem,train_loss_max_mean,train_loss_max_sem,train_loss_min_mean,train_loss_min_sem,OneHotClassificationMetrics_accuracy_max_mean,OneHotClassificationMetrics_accuracy_max_sem,OneHotClassificationMetrics_accuracy_min_mean,OneHotClassificationMetrics_accuracy_min_sem,OneHotClassificationMetrics_precision_max_mean,OneHotClassificationMetrics_precision_max_sem,OneHotClassificationMetrics_precision_min_mean,OneHotClassificationMetrics_precision_min_sem,OneHotClassificationMetrics_recall_max_mean,OneHotClassificationMetrics_recall_max_sem,OneHotClassificationMetrics_recall_min_mean,OneHotClassificationMetrics_recall_min_sem,OneHotClassificationMetrics_f1_score_max_mean,OneHotClassificationMetrics_f1_score_max_sem,OneHotClassificationMetrics_f1_score_min_mean,OneHotClassificationMetrics_f1_score_min_sem,OneHotClassificationMetrics_mcc_max_mean,OneHotClassificationMetrics_mcc_max_sem,OneHotClassificationMetrics_mcc_min_mean,OneHotClassificationMetrics_mcc_min_sem,train_energy_mean,train_energy_sem,total_energy_mean,total_energy_sem,train_time_mean,train_time_sem,total_time_mean,total_time_sem,total_flops_mean,total_flops_sem,BleuScore_bleu_max_mean,BleuScore_bleu_max_sem,BleuScore_bleu_min_mean,BleuScore_bleu_min_sem,NistScore_nist_max_mean,NistScore_nist_max_sem,NistScore_nist_min_mean,NistScore_nist_min_sem,RougeScore_rouge1_max_mean,RougeScore_rouge1_max_sem,RougeScore_rouge1_min_mean,RougeScore_rouge1_min_sem,RougeScore_rouge2_max_mean,RougeScore_rouge2_max_sem,RougeScore_rouge2_min_mean,RougeScore_rouge2_min_sem,RougeScore_rougeL_max_mean,RougeScore_rougeL_max_sem,RougeScore_rougeL_min_mean,RougeScore_rougeL_min_sem,RougeScore_rougeLsum_max_mean,RougeScore_rougeLsum_max_sem,RougeScore_rougeLsum_min_mean,RougeScore_rougeLsum_min_sem,MeteorScore_meteor_max_mean,MeteorScore_meteor_max_sem,MeteorScore_meteor_min_mean,MeteorScore_meteor_min_sem,current_output_max_mean,current_output_max_sem,current_output_min_mean,current_output_min_sem
13,boolq,2.999999999999861,0.0,0.0,0.0,3537.0,0.0,0.0,0.0,3537.0,0.0,3537.0,0.0,0.14186732470989225,0.013292247822286071,0.0008242379408329668,0.0002823379066097485,0.8376146788990826,0.0018685323934580459,0.6186544342507645,0.0,0.8928998304915,0.006701992074030489,0.6243670886075949,0.0,0.9704869650762419,0.0,0.8229217904574521,0.014544578477550472,0.8685559438660464,0.0020560950502360106,0.7598690544964376,0.0,0.6586169264869172,0.002500024219188201,0.0293381270235792,0.0,98804.93395139766,734.7413068487986,127475.56283305732,1833.9832848916099,408.63228166666664,2.85754793272089,523.2658366666666,18.7884994571837,3.387513684956064e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,glue_cola,3.0000000000000324,0.0,0.0,0.0,1605.0,0.0,0.0,0.0,,,,,0.18697559336821237,0.03058020503913415,0.04336135399838287,0.012362107216828323,0.8398849472674975,0.00199584467829925,0.6001917545541706,0.0,0.8439463886897737,0.003643226971060551,0.6849148418491483,0.0,0.9611650485436893,0.0008007632027595441,0.7808599167822469,0.0,0.890829374081525,0.0012032307690246864,0.729747245625405,0.0,0.6082534694468991,0.0052381165173517735,-0.026552650791889603,0.0,32541.819925038333,509.3173981681629,37240.79492066234,313.04921777167266,141.080558,2.6093665033625077,156.15488633333334,3.4519583992277196,4639867907601696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,glue_mnli_matched,0.9999999999997308,0.0,0.0,0.0,24544.0,0.0,0.0,0.0,24544.0,0.0,24544.0,0.0,0.08928708483775454,0.009106236078468307,0.08928708483775454,0.009106236078468307,0.8747495330276788,0.0006506111075112243,0.3496688741721854,0.0,,,,,,,,,,,,,,,,,1334553.456801591,5509.047975973558,1404464.6125397494,2651.8447622742774,4773.829872666666,23.600316330176803,4911.024667999999,1.9901078700086654,2.029916026451286e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,glue_mnli_mismatched,0.9999999999997308,0.0,0.0,0.0,24544.0,0.0,0.0,0.0,24544.0,0.0,24544.0,0.0,0.08928708483775454,0.00910623607846831,0.08928708483775454,0.00910623607846831,0.8852725793327908,0.0008768997258189512,0.3331977217249796,0.0,,,,,,,,,,,,,,,,,1334553.456801591,5509.047975973558,1404464.6125397494,2651.8447622742774,4773.829872666666,23.600316330176803,4911.024667999999,1.9901078700086654,2.029916026451286e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,glue_mrpc,9.99999999999974,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,,,,,0.36395440498987836,0.09078324155341908,8.134834812758978e-05,3.062007719233879e-05,0.8398692810457516,0.005718954248365993,0.3848039215686274,0.0,0.9427349323724593,0.005336246007833101,0.6111111111111112,0.0,0.986857825567503,0.002389486260453988,0.2759856630824372,0.0,0.8873961358388677,0.005007705263468265,0.3802469135802469,0.0,0.6181111764046524,0.012280030509384088,-0.1045279693589734,0.0,113890.91310838233,1087.813680164909,124268.20575248999,42.70116443949422,413.5647326666667,1.962033463921408,441.300051,1.7480685762887964,1.714385392084864e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,glue_qnli,1.000000000000267,0.0,0.0,0.0,13093.0,0.0,0.0,0.0,,,,,0.10600737979014711,0.032711115885648165,0.10600737979014711,0.032711115885648165,0.9258649093904449,0.002733513549893479,0.4949661358228079,0.0,1.0,0.0,0.9446703467757892,0.001660532055069503,0.9064348665942291,0.0073228010064569525,0.0007243752263672,0.0,0.9251142071526014,0.0031125791045715,0.0014477017734346,0.0,0.8525630173262525,0.005132453194145287,0.0189316461535685,0.0,336955.3775681797,3186.007157922474,372152.59787731135,1265.8033868259863,1318.697427,10.813250068046456,1400.0930953333334,7.516895825064717,5.171172839134898e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,glue_qqp,0.9999999999999862,0.0,0.0,0.0,45481.0,0.0,0.0,0.0,45481.0,0.0,45481.0,0.0,0.18264004091421762,0.03232527990095913,0.18264004091421762,0.03232527990095913,0.8844010223431445,0.001432041030521379,0.5375463764531289,0.0,0.9007639270259751,0.0032403874399481265,0.3449397982427595,0.0,0.7710446758481693,0.007824388171562089,0.2848505206583809,0.0,0.8307936611796078,0.0031707815392202584,0.312028553556316,0.0,0.7490707132299163,0.002962216804252216,-0.0318303717947929,0.0,914250.4962750333,6443.941275526169,1063544.041622919,2497.5460879226566,3834.9780210000004,25.458285148864757,4238.581042000001,20.30263524147995,1.2626154054527946e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,glue_rte,10.000000000000243,0.0,0.0,0.0,1560.0,0.0,0.0,0.0,,,,,0.24398170908292127,0.00790429953088411,0.0004207919943534,0.00012328941322563855,0.8134777376654633,0.003183816258802165,0.5270758122743683,0.0,0.8986651264279297,0.050671125079736465,0.0,0.0,0.9109414758269722,0.021740467545337216,0.0,0.0,0.7999392490799332,0.003910996905596148,0.0,0.0,0.6260347580414952,0.006388143614906924,0.0,0.0,135499.06285816667,910.342769810472,146878.51563417332,733.5797363188365,485.25662200000005,1.1940856086999525,522.6214313333334,8.450674566790058,2.159449476084064e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,glue_sst2,0.9999999999999373,0.0,0.0,0.0,4210.0,0.0,0.0,0.0,,,,,0.029400752546886566,0.017358873681307667,0.029400752546886566,0.017358873681307667,0.9438073394495413,0.0013241978651137966,0.6032110091743119,0.0,0.9297598525284417,0.005312649732424756,0.5698005698005698,0.0,0.9624624624624625,0.0037537537537537524,0.9009009009009009,0.0,0.945785389056728,0.0010411777168521546,0.6980802792321118,0.0,0.8881648400530122,0.00240783172788157,0.24643816888916628,0.0,117721.85910446732,1201.505353074492,125178.34381716367,271.53856979160656,454.1295606666667,2.6499453220805216,467.06205666666665,4.4800955563728175,1.848352930370475e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,hellaswag,2.999999999999721,0.0,0.0,0.0,14967.0,0.0,0.0,0.0,14967.0,0.0,14967.0,0.0,0.12788368513186768,0.036905374711102064,3.115134707816954e-05,1.5171477974980216e-05,0.8563035251941845,0.0011796690993770879,0.2534355706034654,0.0,,,,,,,,,,,,,,,,,466857.46062586765,2563.77279899074,579548.0725398274,2181.8170051735074,1729.894703,9.847154140742921,2027.9654103333335,12.966343034337358,1.3201656546260693e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,piqa,3.000000000000148,0.0,0.0,0.0,6045.0,0.0,0.0,0.0,6045.0,0.0,6045.0,0.0,0.28491546213626856,0.03126746678794157,0.00016038571266103354,5.882104024418216e-05,0.7626042800145085,0.0020195010383859,0.4967355821545158,0.0,1.0,0.0,0.6877199196948905,0.0010488605605210393,0.8527298850574713,0.001436781609195405,0.0032327586206896005,0.0,0.7710889612759041,0.004958194020331566,0.006444683136412399,0.0,0.5267288186157293,0.00443141353194128,0.0400395604427795,0.0,111173.23813160666,2099.451888079356,127405.49632404667,3644.47035396267,506.77513433333337,18.155927632039567,569.7570179999999,36.56169339560244,3.434269636597037e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,allenai_task219_rocstories_title_answer_generation,2.9999999999998956,0.0,0.0,0.0,2208.0,0.0,0.0,0.0,2208.0,0.0,2208.0,0.0,1.0285303990046184,0.005600905901746279,0.06017447883884106,0.008321380591002717,,,,,,,,,,,,,,,,,,,,,40578.742821802,236.3989436617467,83173.69886056533,2444.7625696496407,173.34457633333332,3.226705412814251,764.7031430000001,66.39470461154353,1.0991219834490624e+16,,0.021152878628998464,0.001753141689527506,0.0,0.0,0.21364968392384562,0.0445302620111609,0.0218048246054347,0.00041746519316635325,0.23307245119432915,0.0010691944877205093,0.0364781504972669,0.00043509560170673764,0.08250399806676297,0.002632555100647538,0.007783674491784467,0.0001730179726307914,0.23240918934516494,0.0008289766536737686,0.034742687527108636,0.00020428323477792302,0.23277862221193676,0.0009539010605266171,0.0352472820405079,0.00028575318072789193,0.23967427153715706,0.006668757802685495,0.08191639631290133,0.0006240939001052671,,,,
14,allenai_task288_gigaword_summarization,4.999999999999932,0.0,0.0,0.0,1085.0,0.0,0.0,0.0,1085.0,0.0,1085.0,0.0,2.0672833919525146,0.00886076434865634,0.295326088865598,0.0298362179120614,,,,,,,,,,,,,,,,,,,,,16607.324550328,32.72333247785577,31935.37774497867,1002.8827971046281,86.050499,0.44745010102170507,341.02806000000004,13.823874639143902,4521165108754000.0,,0.057781166360734965,0.005098286410252512,0.0007270449112818,0.0002584368986533963,1.4187658820009126,0.04531944207569067,0.16259982343766594,0.003635035096427131,0.21900337300657544,0.004585315543750718,0.08393488748457323,0.0019913049131611896,0.07963443813453423,0.002340099671174518,0.020221112804239532,0.000307243068853651,0.19747879651004455,0.003701348566152324,0.07152318934592033,0.0017832233190844655,0.1978866232720716,0.0038298010334247607,0.0739821662627804,0.0017052214935695375,0.23564882781018626,0.008682271375851498,0.1414112662254976,0.0045080619264272915,,,,
