savings,dataset,epoch_max_mean,epoch_max_sem,epoch_min_mean,epoch_min_sem,global_step_max_mean,global_step_max_sem,global_step_min_mean,global_step_min_sem,num_train_steps_max_mean,num_train_steps_max_sem,num_train_steps_min_mean,num_train_steps_min_sem,train_loss_max_mean,train_loss_max_sem,train_loss_min_mean,train_loss_min_sem,OneHotClassificationMetrics_accuracy_max_mean,OneHotClassificationMetrics_accuracy_max_sem,OneHotClassificationMetrics_accuracy_min_mean,OneHotClassificationMetrics_accuracy_min_sem,OneHotClassificationMetrics_precision_max_mean,OneHotClassificationMetrics_precision_max_sem,OneHotClassificationMetrics_precision_min_mean,OneHotClassificationMetrics_precision_min_sem,OneHotClassificationMetrics_recall_max_mean,OneHotClassificationMetrics_recall_max_sem,OneHotClassificationMetrics_recall_min_mean,OneHotClassificationMetrics_recall_min_sem,OneHotClassificationMetrics_f1_score_max_mean,OneHotClassificationMetrics_f1_score_max_sem,OneHotClassificationMetrics_f1_score_min_mean,OneHotClassificationMetrics_f1_score_min_sem,OneHotClassificationMetrics_mcc_max_mean,OneHotClassificationMetrics_mcc_max_sem,OneHotClassificationMetrics_mcc_min_mean,OneHotClassificationMetrics_mcc_min_sem,train_energy_mean,train_energy_sem,total_energy_mean,total_energy_sem,train_time_mean,train_time_sem,total_time_mean,total_time_sem,total_flops_mean,total_flops_sem,BleuScore_bleu_max_mean,BleuScore_bleu_max_sem,BleuScore_bleu_min_mean,BleuScore_bleu_min_sem,NistScore_nist_max_mean,NistScore_nist_max_sem,NistScore_nist_min_mean,NistScore_nist_min_sem,RougeScore_rouge1_max_mean,RougeScore_rouge1_max_sem,RougeScore_rouge1_min_mean,RougeScore_rouge1_min_sem,RougeScore_rouge2_max_mean,RougeScore_rouge2_max_sem,RougeScore_rouge2_min_mean,RougeScore_rouge2_min_sem,RougeScore_rougeL_max_mean,RougeScore_rougeL_max_sem,RougeScore_rougeL_min_mean,RougeScore_rougeL_min_sem,RougeScore_rougeLsum_max_mean,RougeScore_rougeLsum_max_sem,RougeScore_rougeLsum_min_mean,RougeScore_rougeLsum_min_sem,MeteorScore_meteor_max_mean,MeteorScore_meteor_max_sem,MeteorScore_meteor_min_mean,MeteorScore_meteor_min_sem
0.25,glue_qnli,1.000000000000267,0.0,0.0,0.0,13093.0,0.0,0.0,0.0,,,,,0.1780662859479586,0.03947219023086453,0.1780662859479586,0.03947219023086453,0.9216547684422478,0.004915146103641813,0.4949661358228079,0.0,1.0,0.0,0.943643914216803,0.007193984332008359,0.899070385126162,0.01775499355919322,0.0007243752263672,0.0,0.9204741699660602,0.006075981583232132,0.0014477017734346,0.0,0.844880372202911,0.008598724435551089,0.0189316461535685,0.0,344416.73475650203,8503.303115507262,397482.980931468,8744.732396097685,1324.7913653333333,12.21917137673898,1506.3901746666668,98.92091333326962,5.104708062925854e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,glue_qqp,0.9999999999999862,0.0,0.0,0.0,45481.0,0.0,0.0,0.0,,,,,0.13785577317078906,0.022839819527939703,0.13785577317078906,0.022839819527939703,0.8770055239508615,0.004032426730843004,0.5375463764531289,0.0,0.8945543635834575,0.003222525599928284,0.3449397982427595,0.0,0.7550778188332773,0.01576077832537576,0.2848505206583809,0.0,0.8186785452119688,0.007920553805039296,0.312028553556316,0.0,0.7328381770476479,0.008624173082345704,-0.0318303717947929,0.0,906618.9659769499,16741.648549559708,1080703.2162958167,26436.744649173965,3708.457221,145.83300960248752,4212.326473,202.9118059963953,1.2444743814791792e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,glue_rte,10.000000000000243,0.0,0.0,0.0,1560.0,0.0,0.0,0.0,,,,,0.2484818845987319,0.008303700555123375,0.0008934768023512001,0.0003451204140463119,0.8243080625752106,0.011851814442594623,0.5270758122743683,0.0,0.8594439401961527,0.013791392794181343,0.0,0.0,0.9236641221374046,0.019210774644454816,0.0,0.0,0.8129527124767738,0.013109628826936037,0.0,0.0,0.6511145912035997,0.025405440379407434,0.0,0.0,129273.33241819667,6373.237105175896,158267.9186075273,12138.25070004565,485.8532886666667,0.30582431636717583,651.076283,135.9534222380925,2.128136869415712e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,glue_sst2,0.9999999999999373,0.0,0.0,0.0,4210.0,0.0,0.0,0.0,,,,,0.014882804205020231,0.002900557441257896,0.014882804205020231,0.002900557441257896,0.9461009174311927,0.0026483957302276414,0.6032110091743119,0.0,0.9338634676622389,0.006954147107679097,0.5698005698005698,0.0,0.9624624624624625,0.002706870326924925,0.9009009009009009,0.0,0.9478977891129713,0.002296079994597305,0.6980802792321118,0.0,0.8926404392517319,0.00504273094538796,0.24643816888916628,0.0,116239.89778846134,1966.1741103437362,127468.521649385,2243.6847159391946,450.05090966666666,2.296683790846377,486.0334363333333,26.292065542514322,1.8200188664957936e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,hellaswag,2.999999999999721,0.0,0.0,0.0,14967.0,0.0,0.0,0.0,14967.0,0.0,14967.0,0.0,0.09974256902933114,0.007101855562404656,0.0003152279775046,0.00016324316215194197,0.8577308637057691,0.0033742071622087236,0.2534355706034654,0.0,,,,,,,,,,,,,,,,,461248.3235608693,5743.59003541147,599675.1193691477,15732.880411383445,1746.8111916666667,15.627892843430006,2258.2909433333334,200.35274608278775,1.3025157831878094e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,piqa,3.000000000000148,0.0,0.0,0.0,6045.0,0.0,0.0,0.0,6045.0,0.0,6045.0,0.0,0.3189622660477956,0.06350546623681406,0.0015435856184921333,0.0005165011898545888,0.7586144359811389,0.004099620803575385,0.4967355821545158,0.0,1.0,0.0,0.6910525873499499,0.015669599482323892,0.7891522988505747,0.00844682185079373,0.0032327586206896005,0.0,0.7623333733923588,0.003949951225405134,0.006444683136412399,0.0,0.5182282000936582,0.008643697643221782,0.0400395604427795,0.0,109074.362339069,3186.032336558301,141127.08918804166,14571.428327119895,513.7312523333334,21.70670569360834,759.4869309999999,217.92698926966247,3.3897005314245056e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,allenai_task219_rocstories_title_answer_generation,2.9999999999999383,0.0,0.0,0.0,2202.0,0.0,0.0,0.0,2202.0,0.0,2202.0,0.0,1.0476322571436565,0.00895814267839435,0.4433119595050812,0.018978717320896666,,,,,,,,,,,,,,,,,,,,,33547.88256147567,494.29705778547464,76518.49816580066,3738.1612103568073,142.60995533333335,1.8702966367577714,722.1667386666667,10.977667824446813,9402104966766720.0,,0.0083735179867122,0.005122315499106856,0.0,0.0,0.21373205606400544,0.021061771946768806,0.021166619680726532,0.0003105716303529558,0.23339609277737952,0.006112568184589285,0.03745766762987367,0.0012280379830001246,0.0820672761450338,0.002981586205901347,0.008377364100159667,0.00031032289573434404,0.2320167710059012,0.006221378202231617,0.0357727270233656,0.0011370367755959383,0.23216685583318716,0.006120997579467728,0.0364445664040094,0.0011113899391578632,0.22689725532048677,0.0029042911853357743,0.08426060454672339,0.0014259103533404843
0.5,allenai_task288_gigaword_summarization,5.000000000000091,0.0,0.0,0.0,1095.0,0.0,0.0,0.0,1095.0,0.0,1095.0,0.0,1.7447713216145833,0.09909429655593527,0.012964151799678766,0.0026153923270610586,,,,,,,,,,,,,,,,,,,,,13644.561035202665,312.330748926944,30363.853058044333,2204.8728436838514,70.19380866666667,0.966916896822976,338.59137333333337,27.283976694195058,3930080533272416.0,,0.03918223421929263,0.0024458746454301505,0.0006507316024820667,0.0004334644914063595,1.2574754972591211,0.030249978153102413,0.15283834229896073,0.00386135846093061,0.19367661544223472,0.0016141060323099279,0.08014317172359382,0.002035558748571282,0.05856092873036627,0.000982567445391671,0.019233818588328833,0.0008984540659366311,0.17362707417503684,0.0002819393535875838,0.069485458931714,0.0016853284095152486,0.17383358552087388,0.0002826214806333563,0.07112886939018156,0.0018305794406422902,0.20091122359660327,0.005343692186514275,0.13687996162998498,0.0011503201809519468
0.5,alpaca_mmlu,0.9999999999999222,0.0,0.0,0.0,6376.0,0.0,0.0,0.0,6376.0,0.0,6376.0,0.0,1.3507223924001057,0.00963551436800549,1.3507223924001057,0.00963551436800549,,,,,,,,,,,,,,,,,,,,,252519.04043897,14325.531951052875,432975.75077046733,22074.844000827947,954.6624383333333,7.862258630362671,2495.6028760000004,227.73417992405348,4.076269097406851e+16,,0.10754168658342393,0.002161337150385805,0.054615833299557735,0.0002818121754533046,2.133578152555019,0.031132486744610957,1.5088846918496985,0.0014493677293310706,0.3410920050904524,0.0016090668594034973,0.2848577360103491,0.0013617036291697427,0.14824513549082585,0.0017611850841486227,0.10780983471838217,0.0013086194663313611,0.26695099274957235,0.0013362621615165243,0.20981277109550064,0.0015071656745390038,0.28617862873865135,0.0016012565251454416,0.2347599554122787,0.0016858956088400502,0.32916538210907376,0.0026488318916610505,0.2900245129200491,0.0017473365398996761
0.5,arc_challenge,7.999999999999974,0.0,0.0,0.0,560.0,0.0,0.0,0.0,560.0,0.0,560.0,0.0,0.5278149346510569,0.06499868761473739,0.037983221933245596,0.015935675701665614,0.39799331103678925,0.006962093643699458,0.1872909698996655,0.0,,,,,,,,,,,,,,,,,11784.006770503665,846.6972607041422,19442.788824754,3964.153818666949,51.260005,0.5973321123632429,117.72378100000002,55.97493450002177,4339142081187328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
