forward_joules,forward_energy_mean,forward_time,forward_nvidia_time_mean,forward_memory,forward_nvidia_memory_mean,forward_flops,forward_backward_joules,forward_backward_energy_mean,forward_backward_time,forward_backward_nvidia_time_mean,forward_backward_memory,forward_backward_nvidia_memory_mean,forward_backward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_energy_mean,forward_backward_optimizer_time,forward_backward_optimizer_nvidia_time_mean,forward_backward_optimizer_memory,forward_backward_optimizer_nvidia_memory_mean,forward_backward_optimizer_flops,num_trainable_parameters,model_name,input_length,batch_size,repetition,rank
2764.2525100000003,2764.2525100000003,7.239,7.239,8401.0,8401.0,10124823615488.0,8269.73516,8269.73516,21.686,21.686,21645.0,21645.0,30374901053440.0,9146.6315,9146.6315,25.181,25.181,23649.0,23649.0,30374901053440.0,1235814400,meta-llama/Llama-3.2-1B,256,16,0,-1
3181.10028,3181.10028,8.926,8.926,8467.0,8467.0,10133681985536.0,7364.92358,7364.92358,21.408,21.408,19169.0,19169.0,20221167917056.0,7464.25643,7464.25643,21.423,21.423,19171.0,19171.0,20221167917056.0,704512,meta-llama/Llama-3.2-1B,256,16,0,1
3178.59687,3178.59687,9.102,9.102,8467.0,8467.0,10139453347840.0,7543.26606,7543.26606,22.091,22.091,19173.0,19173.0,20238431672320.0,7588.14013,7588.14013,22.112,22.112,19175.0,19175.0,20238431672320.0,1409024,meta-llama/Llama-3.2-1B,256,16,0,2
3198.88842,3198.88842,9.107,9.107,8473.0,8473.0,10150996072448.0,7443.04459,7443.04459,22.124,22.124,19179.0,19179.0,20272959182848.0,7657.18797,7657.18797,22.158,22.158,19185.0,19185.0,20272959182848.0,2818048,meta-llama/Llama-3.2-1B,256,16,0,4
3178.85563,3178.85563,8.909,8.909,8475.0,8475.0,10174081521664.0,7456.89251,7456.89251,21.75,21.75,19193.0,19193.0,20342014203904.0,7541.94189,7541.94189,21.83,21.83,19209.0,19209.0,20342014203904.0,5636096,meta-llama/Llama-3.2-1B,256,16,0,8
3139.45191,3139.45191,8.958,8.958,8487.0,8487.0,10220252420096.0,7466.14152,7466.14152,21.831,21.831,19223.0,19223.0,20480124246016.0,7505.28619,7505.28619,21.915,21.915,19263.0,19263.0,20480124246016.0,11272192,meta-llama/Llama-3.2-1B,256,16,0,16
3156.32736,3156.32736,8.957,8.957,8507.0,8507.0,10312594216960.0,7375.72033,7375.72033,21.608,21.608,19279.0,19279.0,20756344330240.0,7494.00508,7494.00508,21.665,21.665,19371.0,19371.0,20756344330240.0,22544384,meta-llama/Llama-3.2-1B,256,16,0,32
3200.11127,3200.11127,9.032,9.032,8551.0,8551.0,10497277810688.0,7485.50675,7485.50675,21.748,21.748,19395.0,19395.0,21308784498688.0,7654.54739,7654.54739,21.77,21.77,19587.0,19587.0,21308784498688.0,45088768,meta-llama/Llama-3.2-1B,256,16,0,64
3236.27953,3236.27953,9.207,9.207,8637.0,8637.0,10866644998144.0,7584.71004,7584.71004,22.234,22.234,21539.0,21539.0,22413664835584.0,7864.5052,7864.5052,22.512,22.512,21645.0,21645.0,22413664835584.0,90177536,meta-llama/Llama-3.2-1B,256,16,0,128
3296.53372,3296.53372,9.309,9.309,8767.0,8767.0,11236012185600.0,7840.37212,7840.37212,22.554,22.554,21781.0,21781.0,23518545172480.0,8134.43315,8134.43315,22.975,22.975,22211.0,22211.0,23518545172480.0,135266304,meta-llama/Llama-3.2-1B,256,16,0,192
