forward_joules,forward_time,forward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_time,forward_backward_optimizer_flops,forward_backward_joules,forward_backward_time,forward_backward_flops,num_trainable_parameters,model_name,input_length,batch_size,rank,rep
297.55138,2.009,739173731328,772.3703,7.892,1484436540416,799.46375,7.679,1484436540416,6291456,FacebookAI/roberta-large,256,4,32,0
304.06824,2.03,732731280384,768.00507,7.348,1465209850880,840.45057,7.84,1465209850880,3145728,FacebookAI/roberta-large,256,4,16,0
296.49543,1.949,729510054912,747.54642,7.749,1455596506112,827.23414,7.268,1455596506112,1572864,FacebookAI/roberta-large,256,4,8,0
304.80983,2.068,727899442176,742.11094,8.02,1450789833728,818.78132,8.388,1450789833728,786432,FacebookAI/roberta-large,256,4,4,0
300.33897,2.036,727094135808,790.21719,7.976,1448386497536,773.43243,8.08,1448386497536,393216,FacebookAI/roberta-large,256,4,2,0
290.19684,1.957,726691482624,712.61469,7.858,1447184829440,801.4022,6.131,1447184829440,196608,FacebookAI/roberta-large,256,4,1,0
2373.95849,6.526,,7938.20993,22.567,,7156.54087,19.374,,1235814400,meta-llama/Llama-3.2-1B,256,16,-1,1
3567.05927,10.225,,10054.36791,27.733,,8670.9365,25.861,,721420288,meta-llama/Llama-3.2-1B,256,16,1024,1
3115.22007,8.93,,8184.05154,23.101,,7474.42473,22.17,,360710144,meta-llama/Llama-3.2-1B,256,16,512,1
2914.97387,8.437,,7272.01048,20.878,,6863.43527,20.356,,180355072,meta-llama/Llama-3.2-1B,256,16,256,1
2840.98893,8.289,,6884.6667,20.098,,6631.24255,19.82,,90177536,meta-llama/Llama-3.2-1B,256,16,128,1
2793.861,8.127,,6690.53138,19.612,,6465.83757,19.43,,45088768,meta-llama/Llama-3.2-1B,256,16,64,1
2753.11425,8.041,,6572.04488,19.366,,6399.25052,19.261,,22544384,meta-llama/Llama-3.2-1B,256,16,32,1
2762.46162,8.054,,6556.97334,19.599,,6436.66686,19.5,,11272192,meta-llama/Llama-3.2-1B,256,16,16,1
2757.56114,8.07,,6589.11987,19.478,,6398.38716,19.391,,5636096,meta-llama/Llama-3.2-1B,256,16,8,1
2796.49748,8.21,,6604.44998,19.826,,6463.72748,19.753,,2818048,meta-llama/Llama-3.2-1B,256,16,4,1
2795.77629,8.198,,6648.82661,19.766,,6466.11921,19.748,,1409024,meta-llama/Llama-3.2-1B,256,16,2,1
2755.87086,8.033,,6501.16101,19.138,,6385.05592,19.112,,704512,meta-llama/Llama-3.2-1B,256,16,1,1
