flops,count,self_device_time_total,self_cpu_time_total,device_time_total,cpu_time_total,self_device_memory_usage,self_cpu_memory_usage,device_memory_usage,cpu_memory_usage,name,is_annotation,device,record_step,self_cpu_time_total_percentage,cpu_time_total_percentage
0,1,0,5.506000000000313,0,18.51000000000022,0,0,0,0,aten::numpy_T,False,CPU,vera,0.12676637757824447,0.18576942010535172
0,1,0,10.80600000000004,0,13.003999999999905,0,0,0,0,aten::permute,False,CPU,vera,0.24878995207236412,0.13051029384386534
0,1,0,2.1979999999998654,0,2.1979999999998654,0,0,0,0,aten::as_strided,False,CPU,vera,0.050605248441145737,0.022059491377176298
0,1,0,9.130999999999858,0,41.552999999999884,0,0,0,20480,aten::matmul,False,CPU,vera,0.21022589786902768,0.41703277761413116
81920,1,0,31.342999999999847,0,32.422000000000025,0,20480,0,20480,aten::mm,False,CPU,vera,0.7216197915791266,0.32539255206135315
0,1,0,0.3510000000001128,0,0.3510000000001128,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.008081183895745655,0.0035226940279307743
0,1,0,0.4250000000001819,0,0.4250000000001819,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.009784909275476551,0.004265370261739996
0,1,0,0.3029999999998836,0,0.3029999999998836,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.006976064730510558,0.0030409580924851045
0,1,0,4.718000000000302,0,16.170000000000073,0,0,0,0,aten::numpy_T,False,CPU,vera,0.10862400461572133,0.16228479325248596
0,1,0,8.818999999999505,0,11.45199999999977,0,0,0,0,aten::permute,False,CPU,vera,0.20304262329502573,0.11493416526452836
0,1,0,2.6330000000002656,0,2.6330000000002656,0,0,0,0,aten::as_strided,False,CPU,vera,0.0606203908760502,0.02642522329213585
512,1,0,32.79300000000012,0,32.79300000000012,0,20480,0,20480,aten::mul,False,CPU,vera,0.7550035996954504,0.32911596939571847
0,1,0,4.851000000000113,0,17.503000000000156,0,0,0,0,aten::numpy_T,False,CPU,vera,0.11168610563604127,0.17566300162636206
0,1,0,10.330999999999676,0,12.652000000000044,0,0,0,0,aten::permute,False,CPU,vera,0.237853876999769,0.12697756365061535
0,1,0,2.3210000000003674,0,2.3210000000003674,0,0,0,0,aten::as_strided,False,CPU,vera,0.05343711630205871,0.02329393971175497
0,1,0,20.146000000000186,0,20.146000000000186,0,0,0,0,aten::add_,False,CPU,vera,0.46382772297333663,0.20218858657171293
0,1,0,10.046000000000276,0,39.169000000000324,0,0,0,320,aten::matmul,False,CPU,vera,0.23129223195623078,0.3931065594871148
81920,1,0,28.159000000000106,0,29.123000000000047,0,320,0,320,aten::mm,False,CPU,vera,0.6483135536188878,0.29228324266494343
0,1,0,0.34799999999995634,0,0.34799999999995634,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.008012113947915189,0.003492585531963994
0,1,0,0.31399999999985084,0,0.31399999999985084,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.007229321205874972,0.0031513559110238815
0,1,0,0.3020000000001346,0,0.3020000000001346,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.00695304141457405,0.0030309219271658864
0,1,0,5.0659999999998035,0,18.315000000000055,0,0,0,0,aten::numpy_T,False,CPU,vera,0.11663611856362606,0.18381236786761138
0,1,0,10.26700000000028,0,13.249000000000251,0,0,0,0,aten::permute,False,CPU,vera,0.23638038477947648,0.13296915434769435
0,1,0,2.981999999999971,0,2.981999999999971,0,0,0,0,aten::as_strided,False,CPU,vera,0.06865552813990189,0.029927844989419063
8,1,0,14.166000000000167,0,14.166000000000167,0,320,0,320,aten::mul,False,CPU,vera,0.32614829363845443,0.14217231794772622
0,1,0,4.186000000000149,0,15.974999999999909,0,0,0,0,aten::numpy_T,False,CPU,vera,0.09637560053442065,0.16032774101474564
0,1,0,10.174999999999727,0,11.78899999999976,0,0,0,0,aten::permute,False,CPU,vera,0.23426223971277327,0.11831635297795359
0,1,0,1.6140000000000327,0,1.6140000000000327,0,0,0,0,aten::as_strided,False,CPU,vera,0.03715963193085345,0.016198370829283642
0,1,0,8.2199999999998,0,38.202999999999975,0,0,0,20480,aten::matmul,False,CPU,vera,0.18925165704560207,0.38341162378631355
81920,1,0,28.82400000000007,0,29.983000000000175,0,20480,0,20480,aten::mm,False,CPU,vera,0.6636240587205084,0.3009143448416384
0,1,0,0.4930000000003929,0,0.4930000000003929,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.01135049475955699,0.004947829503620222
0,1,0,0.27700000000004366,0,0.27700000000004366,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.006377458516014758,0.002780017794121552
0,1,0,0.38899999999966894,0,0.38899999999966894,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.008956069901542376,0.0039040683101523206
0,1,0,4.537000000000262,0,15.193000000000211,0,0,0,0,aten::numpy_T,False,CPU,vera,0.1044567844301663,0.1524794597331504
0,1,0,8.465999999999894,0,10.655999999999949,0,0,0,0,aten::permute,False,CPU,vera,0.19491539276740708,0.10694537766842761
0,1,0,2.1900000000000546,0,2.1900000000000546,0,0,0,0,aten::as_strided,False,CPU,vera,0.05042106191361179,0.0219792020546043
512,1,0,23.036000000000058,0,23.036000000000058,0,20480,0,20480,aten::mul,False,CPU,vera,0.5303651060465457,0.2311931043515312
0,1,0,4.141000000000076,0,14.592999999999847,0,0,0,0,aten::numpy_T,False,CPU,vera,0.09533955131701602,0.14645776054010468
0,1,0,8.471999999999753,0,10.45199999999977,0,0,0,0,aten::permute,False,CPU,vera,0.19505353266305753,0.1048979999427915
0,1,0,1.9800000000000182,0,1.9800000000000182,0,0,0,0,aten::as_strided,False,CPU,vera,0.045586165565730495,0.01987160733703919
